segment_onset,segment_offset,speaker_id,speaker_type,vcm_type,lex_type,mwu_type,addressee,transcription,words
6621386,6622355,CHI,CHI,C,0,NA,NA,xxx,0
6716422,6719283,OCHI,OCH,NA,NA,NA,NA,xxx,8
6719350,6719994,CHI,CHI,C,0,NA,NA,xxx,0
6721159,6722700,CHI,CHI,N,NA,NA,NA,xxx,0
6723664,6727298,CHI,CHI,C,0,NA,NA,xxx,0
6729994,6731309,OCHI,OCH,NA,NA,NA,NA,xxx,3
6731861,6734010,OCHI,OCH,NA,NA,NA,NA,xxx,5
6736247,6737727,CHI,CHI,C,0,NA,NA,xxx,0
6737685,6739082,OCHI,OCH,NA,NA,NA,NA,xxx,5
6739608,6740000,CHI,CHI,N,NA,NA,NA,xxx,0
