segment_onset,segment_offset,speaker_id,speaker_type,vcm_type,lex_type,mwu_type,addressee,transcription,words
36595963,36597608,FA1,FEM,NA,NA,NA,NA,xxx,1
36598258,36598572,CHI,CHI,N,NA,NA,NA,xxx,0
36599650,36600423,CHI,CHI,C,0,NA,NA,xxx,0
36601896,36602010,CHI,CHI,N,NA,NA,NA,xxx,0
36602955,36603382,FA1,FEM,NA,NA,NA,NA,xxx,2
36605715,36605841,FA1,FEM,NA,NA,NA,NA,xxx,1
36605961,36606542,FA1,FEM,NA,NA,NA,NA,xxx,1
36607607,36609152,FA1,FEM,NA,NA,NA,NA,xxx,8
36609945,36610209,CHI,CHI,N,NA,NA,NA,xxx,0
36610546,36610967,CHI,CHI,N,NA,NA,NA,xxx,0
36610550,36611017,FA1,FEM,NA,NA,NA,NA,xxx,1
36611266,36612330,FA1,FEM,NA,NA,NA,NA,xxx,3
36611675,36612007,CHI,CHI,N,NA,NA,NA,xxx,0
36612258,36612504,CHI,CHI,N,NA,NA,NA,xxx,0
36616952,36618034,FA1,FEM,NA,NA,NA,NA,xxx,2
36634614,36634877,CHI,CHI,N,NA,NA,NA,xxx,0
36635559,36638462,FA1,FEM,NA,NA,NA,NA,xxx,12
36639771,36639890,CHI,CHI,N,NA,NA,NA,xxx,0
36641845,36642126,CHI,CHI,C,0,NA,NA,xxx,0
36646495,36646629,CHI,CHI,N,NA,NA,NA,xxx,0
36649404,36650250,CHI,CHI,N,NA,NA,NA,xxx,0
36651451,36651613,CHI,CHI,N,NA,NA,NA,xxx,0
36659304,36659903,FA1,FEM,NA,NA,NA,NA,xxx,1
36660631,36661136,FA1,FEM,NA,NA,NA,NA,xxx,1
36661778,36665670,CHI,CHI,N,NA,NA,NA,xxx,0
36666077,36667092,CHI,CHI,C,0,NA,NA,xxx,0
36667799,36667892,CHI,CHI,N,NA,NA,NA,xxx,0
36669073,36669447,CHI,CHI,N,NA,NA,NA,xxx,0
36670718,36670942,CHI,CHI,N,NA,NA,NA,xxx,0
36673482,36673961,CHI,CHI,C,0,NA,NA,xxx,0
36679251,36679595,CHI,CHI,C,0,NA,NA,xxx,0
