segment_onset,segment_offset,speaker_id,speaker_type,vcm_type,lex_type,mwu_type,addressee,transcription,words
6623268,6625649,FA1,FEM,NA,NA,NA,NA,xxx,7
6623777,6624453,OCHI,OCH,NA,NA,NA,NA,xxx,2
6625861,6626474,FA1,FEM,NA,NA,NA,NA,xxx,1
6630566,6632407,FA1,FEM,NA,NA,NA,NA,xxx,5
6633128,6634927,FA1,FEM,NA,NA,NA,NA,xxx,5
6639092,6640320,FA1,FEM,NA,NA,NA,NA,xxx,4
6645401,6647948,FA1,FEM,NA,NA,NA,NA,xxx,15
6647979,6648855,FA1,FEM,NA,NA,NA,NA,xxx,2
6649933,6651180,FA1,FEM,NA,NA,NA,NA,xxx,3
6651211,6653494,FA1,FEM,NA,NA,NA,NA,xxx,4
6653942,6654535,FA1,FEM,NA,NA,NA,NA,xxx,2
6654819,6657046,FA1,FEM,NA,NA,NA,NA,xxx,11
6657855,6658252,FA1,FEM,NA,NA,NA,NA,xxx,1
6658870,6660407,FA1,FEM,NA,NA,NA,NA,xxx,5
6659917,6660092,CHI,CHI,N,NA,NA,NA,xxx,0
6661036,6662108,FA1,FEM,NA,NA,NA,NA,xxx,4
6666249,6667986,FA1,FEM,NA,NA,NA,NA,xxx,4
6666530,6667783,CHI,CHI,C,0,NA,NA,xxx,0
6672593,6673753,FA1,FEM,NA,NA,NA,NA,xxx,8
6673819,6675103,OCHI,OCH,NA,NA,NA,NA,xxx,5
6675201,6676469,FA1,FEM,NA,NA,NA,NA,xxx,3
6677407,6678726,OCHI,OCH,NA,NA,NA,NA,xxx,3
6678752,6680180,FA1,FEM,NA,NA,NA,NA,xxx,5
6680850,6682107,FA1,FEM,NA,NA,NA,NA,xxx,3
6684263,6686294,FA1,FEM,NA,NA,NA,NA,xxx,3
6686536,6688252,FA1,FEM,NA,NA,NA,NA,xxx,3
6689979,6690917,FA1,FEM,NA,NA,NA,NA,xxx,6
6691133,6691376,FA1,FEM,NA,NA,NA,NA,xxx,1
6691835,6692768,OCHI,OCH,NA,NA,NA,NA,xxx,3
6693175,6694479,FA1,FEM,NA,NA,NA,NA,xxx,6
6695108,6697097,FA1,FEM,NA,NA,NA,NA,xxx,7
6696804,6698031,OCHI,OCH,NA,NA,NA,NA,xxx,2
6698268,6699417,FA1,FEM,NA,NA,NA,NA,xxx,5
6699226,6699505,OCHI,OCH,NA,NA,NA,NA,xxx,1
6699768,6700557,OCHI,OCH,NA,NA,NA,NA,xxx,2
6700938,6701495,FA1,FEM,NA,NA,NA,NA,xxx,4
6701530,6702376,FA1,FEM,NA,NA,NA,NA,xxx,5
6702675,6703628,OCHI,OCH,NA,NA,NA,NA,xxx,4
6704628,6705731,FA1,FEM,NA,NA,NA,NA,xxx,3
6705819,6707103,FA1,FEM,NA,NA,NA,NA,xxx,4
6707794,6709057,FA1,FEM,NA,NA,NA,NA,xxx,6
6709401,6710788,FA1,FEM,NA,NA,NA,NA,xxx,6
6711097,6712365,FA1,FEM,NA,NA,NA,NA,xxx,8
6712381,6713325,OCHI,OCH,NA,NA,NA,NA,xxx,3
6713360,6715680,FA1,FEM,NA,NA,NA,NA,xxx,13
6715762,6716659,OCHI,OCH,NA,NA,NA,NA,xxx,2
6716742,6717417,FA1,FEM,NA,NA,NA,NA,xxx,2
6717773,6718845,FA1,FEM,NA,NA,NA,NA,xxx,4
6718871,6721124,FA1,FEM,NA,NA,NA,NA,xxx,12
6722412,6722902,FA1,FEM,NA,NA,NA,NA,xxx,2
6723179,6723643,OCHI,OCH,NA,NA,NA,NA,xxx,2
6724236,6725587,FA1,FEM,NA,NA,NA,NA,xxx,7
6725618,6726010,OCHI,OCH,NA,NA,NA,NA,xxx,2
6726020,6727716,FA1,FEM,NA,NA,NA,NA,xxx,4
6727751,6729411,OCHI,OCH,NA,NA,NA,NA,xxx,3
6730231,6731154,FA1,FEM,NA,NA,NA,NA,xxx,1
6733659,6734366,FA1,FEM,NA,NA,NA,NA,xxx,4
6734433,6736113,FA1,FEM,NA,NA,NA,NA,xxx,5
