segment_onset,segment_offset,speaker_id,speaker_type,vcm_type,lex_type,mwu_type,addressee,transcription,words
18713272,18714736,CHI,CHI,N,NA,NA,NA,xxx,0
18714308,18716210,MA1,MAL,NA,NA,NA,NA,xxx,5
18714968,18716211,CHI,CHI,N,NA,NA,NA,xxx,0
18716783,18718572,CHI,CHI,N,NA,NA,NA,xxx,0
18719505,18719989,MA1,MAL,NA,NA,NA,NA,xxx,1
18732659,18733494,FA1,FEM,NA,NA,NA,NA,xxx,3
18741180,18741634,CHI,CHI,N,NA,NA,NA,xxx,0
18775329,18777649,FA1,FEM,NA,NA,NA,NA,xxx,11
18779938,18780381,FA1,FEM,NA,NA,NA,NA,xxx,1
18782051,18783510,MA1,MAL,NA,NA,NA,NA,xxx,3
18797819,18798345,CHI,CHI,N,NA,NA,NA,xxx,0
18800731,18801829,CHI,CHI,N,NA,NA,NA,xxx,0
18803973,18804958,FA1,FEM,NA,NA,NA,NA,xxx,4
18818139,18818541,FA1,FEM,NA,NA,NA,NA,xxx,1
18829509,18829911,FA1,FEM,NA,NA,NA,NA,xxx,1
