segment_onset,segment_offset,speaker_id,speaker_type,vcm_type,lex_type,mwu_type,addressee,transcription,words
6620010,6620603,FA1,FEM,NA,NA,NA,NA,xxx,2
6621087,6621737,CHI,CHI,N,NA,NA,NA,xxx,0
6622551,6623175,CHI,CHI,N,NA,NA,NA,xxx,0
6622824,6623737,FA1,FEM,NA,NA,NA,NA,xxx,4
6625180,6625500,CHI,CHI,C,0,NA,NA,xxx,0
6625947,6626558,FA1,FEM,NA,NA,NA,NA,xxx,2
6626747,6627304,CHI,CHI,N,NA,NA,NA,xxx,0
6627517,6628215,FA1,FEM,NA,NA,NA,NA,xxx,4
6629071,6630099,FA1,FEM,NA,NA,NA,NA,xxx,3
6632058,6632743,CHI,CHI,C,0,NA,NA,xxx,0
6632897,6633649,FA1,FEM,NA,NA,NA,NA,xxx,3
6636084,6636645,OCHI,OCH,NA,NA,NA,NA,xxx,2
6637393,6637800,FA1,FEM,NA,NA,NA,NA,xxx,1
6639099,6639897,CHI,CHI,C,0,NA,NA,xxx,0
6641426,6641915,FA1,FEM,NA,NA,NA,NA,xxx,1
6642623,6643306,MA1,MAL,NA,NA,NA,NA,xxx,1
6644032,6645032,FA1,FEM,NA,NA,NA,NA,xxx,1
6645626,6646984,FA1,FEM,NA,NA,NA,NA,xxx,7
6646172,6646872,CHI,CHI,N,NA,NA,NA,xxx,0
6649319,6650291,CHI,CHI,C,0,NA,NA,xxx,0
6651386,6651599,CHI,CHI,C,0,NA,NA,xxx,0
6653867,6655878,FA1,FEM,NA,NA,NA,NA,xxx,5
6656206,6656986,FA1,FEM,NA,NA,NA,NA,xxx,3
6657137,6657667,CHI,CHI,C,0,NA,NA,xxx,0
6657765,6659106,CHI,CHI,C,0,NA,NA,xxx,0
6659619,6660449,CHI,CHI,C,0,NA,NA,xxx,0
6660980,6663386,CHI,CHI,C,0,NA,NA,xxx,0
6661664,6662370,FA1,FEM,NA,NA,NA,NA,xxx,2
6663384,6665395,FA1,FEM,NA,NA,NA,NA,xxx,5
6666157,6666930,FA1,FEM,NA,NA,NA,NA,xxx,4
6667043,6667969,FA1,FEM,NA,NA,NA,NA,xxx,4
6669220,6670335,FA1,FEM,NA,NA,NA,NA,xxx,4
6670376,6670806,FA1,FEM,NA,NA,NA,NA,xxx,2
6671062,6671304,CHI,CHI,C,0,NA,NA,xxx,0
6671605,6671792,MA1,MAL,NA,NA,NA,NA,xxx,1
6672328,6673341,CHI,CHI,N,NA,NA,NA,xxx,0
6673910,6675091,CHI,CHI,N,NA,NA,NA,xxx,0
6673972,6674507,FA1,FEM,NA,NA,NA,NA,xxx,1
6674191,6674615,MA1,MAL,NA,NA,NA,NA,xxx,1
6674634,6674908,FA1,FEM,NA,NA,NA,NA,xxx,1
6675545,6677217,FA1,FEM,NA,NA,NA,NA,xxx,8
6675837,6676624,CHI,CHI,N,NA,NA,NA,xxx,0
6677711,6678563,FA1,FEM,NA,NA,NA,NA,xxx,3
6678580,6679176,FA1,FEM,NA,NA,NA,NA,xxx,2
6679195,6679811,MA1,MAL,NA,NA,NA,NA,xxx,2
6679835,6680922,FA1,FEM,NA,NA,NA,NA,xxx,3
6681282,6682164,FA1,FEM,NA,NA,NA,NA,xxx,2
6684219,6685030,FA1,FEM,NA,NA,NA,NA,xxx,3
6688395,6688802,FA1,FEM,NA,NA,NA,NA,xxx,1
6689178,6689476,CHI,CHI,N,NA,NA,NA,xxx,0
6690147,6691206,MA1,MAL,NA,NA,NA,NA,xxx,5
6691436,6692036,FA1,FEM,NA,NA,NA,NA,xxx,3
6692041,6693502,FA1,FEM,NA,NA,NA,NA,xxx,6
6694641,6695335,FA1,FEM,NA,NA,NA,NA,xxx,5
6697762,6698600,FA1,FEM,NA,NA,NA,NA,xxx,4
6698030,6699326,CHI,CHI,N,NA,NA,NA,xxx,0
6700102,6700628,FA1,FEM,NA,NA,NA,NA,xxx,1
6700523,6701832,CHI,CHI,N,NA,NA,NA,xxx,0
6703489,6704067,CHI,CHI,N,NA,NA,NA,xxx,0
6704711,6705206,FA1,FEM,NA,NA,NA,NA,xxx,6
6706215,6707987,FA1,FEM,NA,NA,NA,NA,xxx,7
6713078,6714160,CHI,CHI,N,NA,NA,NA,xxx,0
6720980,6723856,FA1,FEM,NA,NA,NA,NA,xxx,16
6724004,6726110,FA1,FEM,NA,NA,NA,NA,xxx,13
6733177,6733427,CHI,CHI,N,NA,NA,NA,xxx,0
6735735,6736437,CHI,CHI,N,NA,NA,NA,xxx,0
6737078,6739080,CHI,CHI,C,0,NA,NA,xxx,0
