segment_onset,segment_offset,speaker_id,speaker_type,vcm_type,lex_type,mwu_type,addressee,transcription,words
18281990,18283923,FA1,FEM,NA,NA,NA,NA,xxx,9
18286078,18287540,FA1,FEM,NA,NA,NA,NA,xxx,4
18297056,18297150,CHI,CHI,N,NA,NA,NA,xxx,0
18297606,18297705,CHI,CHI,N,NA,NA,NA,xxx,0
18298160,18298261,CHI,CHI,N,NA,NA,NA,xxx,0
18299163,18299278,CHI,CHI,N,NA,NA,NA,xxx,0
18299525,18299667,CHI,CHI,N,NA,NA,NA,xxx,0
18301089,18303556,FA1,FEM,NA,NA,NA,NA,xxx,12
18303575,18304000,CHI,CHI,C,0,NA,NA,xxx,0
18304624,18305329,FA1,FEM,NA,NA,NA,NA,xxx,2
18307746,18308283,CHI,CHI,C,0,NA,NA,xxx,0
18309176,18309629,FA1,FEM,NA,NA,NA,NA,xxx,1
18313329,18313429,CHI,CHI,N,NA,NA,NA,xxx,0
18321403,18321710,CHI,CHI,N,NA,NA,NA,xxx,0
18323114,18324076,CHI,CHI,C,0,NA,NA,xxx,0
18326832,18326980,CHI,CHI,N,NA,NA,NA,xxx,0
18327578,18328117,FA1,FEM,NA,NA,NA,NA,xxx,1
18329171,18329407,CHI,CHI,N,NA,NA,NA,xxx,0
18330148,18330511,FA1,FEM,NA,NA,NA,NA,xxx,1
18332988,18333475,CHI,CHI,N,NA,NA,NA,xxx,0
18334746,18335133,CHI,CHI,N,NA,NA,NA,xxx,0
18337066,18337486,CHI,CHI,C,0,NA,NA,xxx,0
18356243,18357600,CHI,CHI,N,NA,NA,NA,xxx,0
18357599,18359899,FA1,FEM,NA,NA,NA,NA,xxx,3
18360799,18361792,FA1,FEM,NA,NA,NA,NA,xxx,2
18361957,18362564,CHI,CHI,N,NA,NA,NA,xxx,0
18362938,18365243,CHI,CHI,N,NA,NA,NA,xxx,0
18377935,18379671,CHI,CHI,N,NA,NA,NA,xxx,0
18380821,18384000,CHI,CHI,N,NA,NA,NA,xxx,0
