segment_onset,segment_offset,speaker_id,speaker_type,vcm_type,lex_type,mwu_type,addressee,transcription,words
6837438,6837706,CHI,CHI,N,NA,NA,NA,xxx,0
6838020,6838494,MA1,MAL,NA,NA,NA,NA,xxx,3
6838505,6839087,CHI,CHI,N,NA,NA,NA,xxx,0
6839443,6839773,CHI,CHI,N,NA,NA,NA,xxx,0
6839912,6841396,MA1,MAL,NA,NA,NA,NA,xxx,8
6842608,6843912,MA1,MAL,NA,NA,NA,NA,xxx,8
6853391,6854082,MA1,MAL,NA,NA,NA,NA,xxx,2
6856778,6857139,CHI,CHI,N,NA,NA,NA,xxx,0
6857324,6858036,MA1,MAL,NA,NA,NA,NA,xxx,4
6858716,6861154,CHI,CHI,N,NA,NA,NA,xxx,0
6861755,6862631,MA1,MAL,NA,NA,NA,NA,xxx,4
6864268,6865098,MA1,MAL,NA,NA,NA,NA,xxx,5
6867530,6868345,CHI,CHI,N,NA,NA,NA,xxx,0
6868406,6869906,MA1,MAL,NA,NA,NA,NA,xxx,4
6869973,6870731,MA1,MAL,NA,NA,NA,NA,xxx,3
6870881,6872103,CHI,CHI,N,NA,NA,NA,xxx,0
6871384,6872461,MA1,MAL,NA,NA,NA,NA,xxx,4
6874732,6874917,CHI,CHI,N,NA,NA,NA,xxx,0
6875123,6875711,MA1,MAL,NA,NA,NA,NA,xxx,3
6876350,6877618,CHI,CHI,N,NA,NA,NA,xxx,0
6878602,6879613,CHI,CHI,N,NA,NA,NA,xxx,0
6879561,6880540,MA1,MAL,NA,NA,NA,NA,xxx,2
6881392,6881907,MA1,MAL,NA,NA,NA,NA,xxx,3
6884041,6884520,CHI,CHI,N,NA,NA,NA,xxx,0
6884987,6885399,CHI,CHI,N,NA,NA,NA,xxx,0
6885766,6885998,CHI,CHI,N,NA,NA,NA,xxx,0
6886326,6886583,CHI,CHI,N,NA,NA,NA,xxx,0
6886877,6887233,CHI,CHI,N,NA,NA,NA,xxx,0
6887530,6887695,CHI,CHI,N,NA,NA,NA,xxx,0
6887696,6888108,MA1,MAL,NA,NA,NA,NA,xxx,3
6895670,6896252,MA1,MAL,NA,NA,NA,NA,xxx,5
6898819,6899515,CHI,CHI,N,NA,NA,NA,xxx,0
6901041,6901443,CHI,CHI,N,NA,NA,NA,xxx,0
6904252,6904716,MA1,MAL,NA,NA,NA,NA,xxx,3
6905118,6905350,CHI,CHI,N,NA,NA,NA,xxx,0
6905714,6905889,CHI,CHI,N,NA,NA,NA,xxx,0
6905734,6906281,MA1,MAL,NA,NA,NA,NA,xxx,2
6907788,6908262,MA1,MAL,NA,NA,NA,NA,xxx,2
6908736,6911963,MA1,MAL,NA,NA,NA,NA,xxx,5
6914515,6915102,MA1,MAL,NA,NA,NA,NA,xxx,1
6915741,6917149,MA1,MAL,NA,NA,NA,NA,xxx,4
6917613,6918897,MA1,MAL,NA,NA,NA,NA,xxx,5
6919432,6921896,MA1,MAL,NA,NA,NA,NA,xxx,4
6923783,6924139,CHI,CHI,N,NA,NA,NA,xxx,0
6943948,6944242,CHI,CHI,N,NA,NA,NA,xxx,0
