segment_onset,segment_offset,speaker_id,speaker_type,vcm_type,lex_type,mwu_type,addressee,transcription,words
7296999,7297564,FA1,FEM,NA,NA,NA,NA,xxx,2
7298207,7299926,FA1,FEM,NA,NA,NA,NA,xxx,10
7300587,7301583,FA1,FEM,NA,NA,NA,NA,xxx,4
7303175,7303654,FA1,FEM,NA,NA,NA,NA,xxx,1
7305187,7305891,CHI,CHI,N,NA,NA,NA,xxx,0
7308256,7308476,CHI,CHI,N,NA,NA,NA,xxx,0
7312121,7312926,FA1,FEM,NA,NA,NA,NA,xxx,5
7316270,7316741,FA1,FEM,NA,NA,NA,NA,xxx,1
7318480,7319109,FA1,FEM,NA,NA,NA,NA,xxx,3
7319708,7320695,CHI,CHI,N,NA,NA,NA,xxx,0
7320349,7320898,FA1,FEM,NA,NA,NA,NA,xxx,3
7321888,7322446,FA1,FEM,NA,NA,NA,NA,xxx,3
7324775,7325957,FA1,FEM,NA,NA,NA,NA,xxx,5
7326260,7328157,CHI,CHI,N,NA,NA,NA,xxx,0
7332137,7332665,CHI,CHI,N,NA,NA,NA,xxx,0
7333123,7333599,CHI,CHI,N,NA,NA,NA,xxx,0
7336439,7337000,CHI,CHI,N,NA,NA,NA,xxx,0
7342086,7342842,FA1,FEM,NA,NA,NA,NA,xxx,4
7344605,7345702,FA1,FEM,NA,NA,NA,NA,xxx,6
7350004,7350350,CHI,CHI,N,NA,NA,NA,xxx,0
7351812,7352659,CHI,CHI,N,NA,NA,NA,xxx,0
7357951,7358553,CHI,CHI,N,NA,NA,NA,xxx,0
7359755,7359981,CHI,CHI,N,NA,NA,NA,xxx,0
7366262,7367045,FA1,FEM,NA,NA,NA,NA,xxx,4
7371443,7372077,CHI,CHI,C,0,NA,NA,xxx,0
7373231,7374292,CHI,CHI,N,NA,NA,NA,xxx,0
7380949,7381684,CHI,CHI,N,NA,NA,NA,xxx,0
7382116,7382889,CHI,CHI,N,NA,NA,NA,xxx,0
7392378,7393737,FA1,FEM,NA,NA,NA,NA,xxx,5
7394707,7395567,CHI,CHI,N,NA,NA,NA,xxx,0
7395269,7396838,FA1,FEM,NA,NA,NA,NA,xxx,5
7397249,7398290,FA1,FEM,NA,NA,NA,NA,xxx,5
7403350,7404242,CHI,CHI,N,NA,NA,NA,xxx,0
7404557,7404996,FA1,FEM,NA,NA,NA,NA,xxx,2
7405697,7406409,FA1,FEM,NA,NA,NA,NA,xxx,2
7407645,7408432,CHI,CHI,C,0,NA,NA,xxx,0
7408686,7409723,FA1,FEM,NA,NA,NA,NA,xxx,4
7410267,7411356,CHI,CHI,N,NA,NA,NA,xxx,0
7413185,7413638,CHI,CHI,N,NA,NA,NA,xxx,0
