segment_onset,segment_offset,speaker_id,speaker_type,vcm_type,lex_type,mwu_type,addressee,transcription,words
6846412,6847221,CHI,CHI,C,0,NA,NA,xxx,0
6850140,6850904,CHI,CHI,C,0,NA,NA,xxx,0
6851333,6852615,MA1,MAL,NA,NA,NA,NA,xxx,3
6854098,6855657,MA1,MAL,NA,NA,NA,NA,xxx,4
6856693,6857037,CHI,CHI,C,0,NA,NA,xxx,0
6857559,6858582,MA1,MAL,NA,NA,NA,NA,xxx,3
6858834,6859830,CHI,CHI,C,0,NA,NA,xxx,0
6861275,6862470,CHI,CHI,C,0,NA,NA,xxx,0
6864804,6865391,CHI,CHI,C,0,NA,NA,xxx,0
6866541,6868797,CHI,CHI,C,0,NA,NA,xxx,0
6869658,6871081,CHI,CHI,N,NA,NA,NA,xxx,0
6872147,6873359,MA1,MAL,NA,NA,NA,NA,xxx,3
6874620,6875362,CHI,CHI,C,0,NA,NA,xxx,0
6875854,6876809,MA1,MAL,NA,NA,NA,NA,xxx,5
6880033,6881395,MA1,MAL,NA,NA,NA,NA,xxx,2
6881399,6882172,CHI,CHI,C,0,NA,NA,xxx,0
6882638,6883912,CHI,CHI,C,0,NA,NA,xxx,0
6889113,6889723,CHI,CHI,N,NA,NA,NA,xxx,0
6895137,6896605,CHI,CHI,N,NA,NA,NA,xxx,0
6896885,6897774,CHI,CHI,N,NA,NA,NA,xxx,0
6898138,6899147,CHI,CHI,C,0,NA,NA,xxx,0
6900128,6902515,MA1,MAL,NA,NA,NA,NA,xxx,2
6902522,6902831,CHI,CHI,C,0,NA,NA,xxx,0
6904448,6905504,MA1,MAL,NA,NA,NA,NA,xxx,4
6915837,6916497,MA1,MAL,NA,NA,NA,NA,xxx,2
6917009,6917284,CHI,CHI,C,W,NA,NA,xxx,0
6919396,6919899,CHI,CHI,C,0,NA,NA,xxx,0
6921125,6921250,CHI,CHI,N,NA,NA,NA,xxx,0
6922953,6923092,CHI,CHI,N,NA,NA,NA,xxx,0
6925292,6925867,MA1,MAL,NA,NA,NA,NA,xxx,2
6928894,6929937,MA1,MAL,NA,NA,NA,NA,xxx,3
6934545,6935785,CHI,CHI,C,0,NA,NA,xxx,0
6936522,6937351,CHI,CHI,N,NA,NA,NA,xxx,0
6939125,6939303,CHI,CHI,N,NA,NA,NA,xxx,0
6946930,6947549,CHI,CHI,N,NA,NA,NA,xxx,0
6948255,6948638,CHI,CHI,N,NA,NA,NA,xxx,0
6950203,6950352,CHI,CHI,C,0,NA,NA,xxx,0
6956672,6956928,CHI,CHI,N,NA,NA,NA,xxx,0
