segment_onset,segment_offset,speaker_id,speaker_type,vcm_type,lex_type,mwu_type,addressee,transcription,words
39803199,39805967,FA1,FEM,NA,NA,NA,NA,xxx,11
39841079,39842032,CHI,CHI,N,0,NA,NA,xxx,0
39842423,39843132,FA1,FEM,NA,NA,NA,NA,xxx,4
39843795,39844504,CHI,CHI,N,0,NA,NA,xxx,0
39844559,39844878,FA1,FEM,NA,NA,NA,NA,xxx,3
39844874,39845407,CHI,CHI,N,0,NA,NA,xxx,0
39845309,39845920,FA1,FEM,NA,NA,NA,NA,xxx,1
39845916,39846541,CHI,CHI,N,0,NA,NA,xxx,0
39847027,39847772,CHI,CHI,C,0,NA,NA,xxx,0
39848073,39848907,FA1,FEM,NA,NA,NA,NA,xxx,4
39849616,39850134,CHI,CHI,N,0,NA,NA,xxx,0
39850368,39850799,FA1,FEM,NA,NA,NA,NA,xxx,1
39851352,39855983,CHI,CHI,Y,0,NA,NA,xxx,0
39857007,39859716,CHI,CHI,Y,0,NA,NA,xxx,0
39858681,39860100,FA1,FEM,NA,NA,NA,NA,xxx,5
39860345,39860947,CHI,CHI,Y,0,NA,NA,xxx,0
39861053,39861271,CHI,CHI,Y,0,NA,NA,xxx,0
39861292,39862288,FA1,FEM,NA,NA,NA,NA,xxx,2
39862276,39862965,CHI,CHI,Y,0,NA,NA,xxx,0
39863169,39864054,FA1,FEM,NA,NA,NA,NA,xxx,3
39868705,39869477,CHI,CHI,N,0,NA,NA,xxx,0
39874127,39875197,FA1,FEM,NA,NA,NA,NA,xxx,7
39875204,39875979,CHI,CHI,Y,0,NA,NA,xxx,0
39875973,39876451,FA1,FEM,NA,NA,NA,NA,xxx,1
39881799,39883325,FA1,FEM,NA,NA,NA,NA,xxx,8
