segment_onset,segment_offset,speaker_id,speaker_type,vcm_type,lex_type,mwu_type,addressee,transcription,words
5817968,5818301,CHI,CHI,N,NA,NA,NA,xxx,0
5819730,5820074,CHI,CHI,N,NA,NA,NA,xxx,0
5820161,5821495,FA1,FEM,NA,NA,NA,NA,xxx,8
5830401,5832871,FA1,FEM,NA,NA,NA,NA,xxx,9
5834045,5835286,FA1,FEM,NA,NA,NA,NA,xxx,3
5843776,5844902,FA1,FEM,NA,NA,NA,NA,xxx,5
5845356,5846763,MA1,MAL,NA,NA,NA,NA,xxx,2
5847663,5848680,FA1,FEM,NA,NA,NA,NA,xxx,6
5853974,5854249,CHI,CHI,N,NA,NA,NA,xxx,0
5861556,5861884,CHI,CHI,N,NA,NA,NA,xxx,0
5862180,5864695,FA1,FEM,NA,NA,NA,NA,xxx,11
5866124,5866814,FA1,FEM,NA,NA,NA,NA,xxx,4
5867077,5868639,FA1,FEM,NA,NA,NA,NA,xxx,4
5868667,5869267,CHI,CHI,N,NA,NA,NA,xxx,0
5869387,5870245,FA1,FEM,NA,NA,NA,NA,xxx,5
5870136,5873233,CHI,CHI,N,NA,NA,NA,xxx,0
5871590,5873221,FA1,FEM,NA,NA,NA,NA,xxx,4
5873556,5875409,CHI,CHI,N,NA,NA,NA,xxx,0
5874568,5875381,FA1,FEM,NA,NA,NA,NA,xxx,1
5889911,5890798,CHI,CHI,N,NA,NA,NA,xxx,0
5898342,5899888,OCHI,OCH,NA,NA,NA,NA,xxx,3
5903311,5904324,OCHI,OCH,NA,NA,NA,NA,xxx,3
5905522,5906569,OCHI,OCH,NA,NA,NA,NA,xxx,3
5927141,5927392,CHI,CHI,N,NA,NA,NA,xxx,0
5929888,5930499,OCHI,OCH,NA,NA,NA,NA,xxx,4
5930562,5930980,OCHI,OCH,NA,NA,NA,NA,xxx,2
5931799,5932714,OCHI,OCH,NA,NA,NA,NA,xxx,2
