segment_onset,segment_offset,speaker_id,speaker_type,vcm_type,lex_type,mwu_type,addressee,transcription,words
36581664,36582572,CHI,CHI,C,0,NA,NA,xxx,0
36584041,36584422,CHI,CHI,C,0,NA,NA,xxx,0
36589902,36590809,CHI,CHI,C,0,NA,NA,xxx,0
36591146,36591326,CHI,CHI,N,NA,NA,NA,xxx,0
36591955,36592388,CHI,CHI,N,NA,NA,NA,xxx,0
36593405,36593983,CHI,CHI,N,NA,NA,NA,xxx,0
36597391,36597628,CHI,CHI,N,NA,NA,NA,xxx,0
36598156,36598254,CHI,CHI,N,NA,NA,NA,xxx,0
36600108,36600216,CHI,CHI,N,NA,NA,NA,xxx,0
36605469,36606190,CHI,CHI,N,NA,NA,NA,xxx,0
36612566,36612850,CHI,CHI,N,NA,NA,NA,xxx,0
36613205,36613437,CHI,CHI,C,0,NA,NA,xxx,0
36614194,36614442,CHI,CHI,C,0,NA,NA,xxx,0
36614810,36615001,CHI,CHI,C,0,NA,NA,xxx,0
36623674,36624592,CHI,CHI,N,NA,NA,NA,xxx,0
36639422,36640360,CHI,CHI,C,0,NA,NA,xxx,0
36641434,36641904,CHI,CHI,C,0,NA,NA,xxx,0
36643006,36643249,CHI,CHI,N,NA,NA,NA,xxx,0
36644494,36644767,CHI,CHI,C,0,NA,NA,xxx,0
36645117,36645911,CHI,CHI,C,0,NA,NA,xxx,0
36664396,36664711,CHI,CHI,N,NA,NA,NA,xxx,0
36683865,36684190,CHI,CHI,C,0,NA,NA,xxx,0
36696860,36697273,CHI,CHI,N,NA,NA,NA,xxx,0
