segment_onset,segment_offset,speaker_id,speaker_type,vcm_type,lex_type,mwu_type,addressee,transcription,words
5857510,5858510,CHI,CHI,N,NA,NA,NA,xxx,0
5859252,5860005,CHI,CHI,N,NA,NA,NA,xxx,0
5860072,5861685,FA1,FEM,NA,NA,NA,NA,xxx,3
5861783,5862133,CHI,CHI,N,NA,NA,NA,xxx,0
5864582,5864999,CHI,CHI,N,NA,NA,NA,xxx,0
5866561,5867994,FA1,FEM,NA,NA,NA,NA,xxx,4
5868360,5868659,CHI,CHI,C,0,NA,NA,xxx,0
5872108,5874098,CHI,CHI,N,NA,NA,NA,xxx,0
5876195,5876942,CHI,CHI,N,NA,NA,NA,xxx,0
5878598,5880561,CHI,CHI,N,NA,NA,NA,xxx,0
5880762,5881308,CHI,CHI,N,NA,NA,NA,xxx,0
5882582,5883200,FA1,FEM,NA,NA,NA,NA,xxx,2
5883407,5884454,CHI,CHI,C,0,NA,NA,xxx,0
5884829,5886015,FA1,FEM,NA,NA,NA,NA,xxx,5
5911406,5911695,CHI,CHI,N,NA,NA,NA,xxx,0
5912542,5913145,CHI,CHI,N,NA,NA,NA,xxx,0
5913566,5914458,CHI,CHI,N,NA,NA,NA,xxx,0
